,% Impuesto,Atributos,Cantidad,Cantidad.1,Descripcion,Etiquetas,Foto 1,Foto 2,Foto 3,ID,ID_PRODUCTO,Nombre,Precio,Sabor,URL FOTO
0,,Sabor,,,Bolsa x 250 gr,Pasabocas,ruddy,,,1.0,65.0,Papas Super Ricas Todo Rico,5900.0,BBQ,https://www.larebajavirtual.com/images/productos/sii/F/300x300/todo_rico_bbq_familiar_super_ricas-99391-1594703696.png
1,,Sabor,,,Bolsa x 250 gr ,Pasabocas,ruddy,,,2.0,65.0,Papas Super Ricas Todo Rico,5900.0,Natural,https://metrocolombiafood.vteximg.com.br/arquivos/ids/165942-1000-1000/7702152009193-1.jpg?v=636670854237570000
2,,Sabor,,,Bolsa x 180 gr,Pasabocas,ruddy,,,1.0,66.0,Papas Super Ricas Todo Rico,4800.0,Criollo,https://jumbocolombiafood.vteximg.com.br/arquivos/ids/158088-1000-1000/7702152003504.jpg?v=636081687985800000
3,,Sabor,,,Bolsa x 180 gr,Pasabocas,ruddy,,,2.0,67.0,Papas Super Ricas Todo Rico,4800.0,Criollo Aji ,https://jumbocolombiafood.vteximg.com.br/arquivos/ids/158088-750-750/7702152003504.jpg?v=636081687985800000
4,,Sabor,,,Bolsa x  150 gr,Pasabocas,ruddy,,,1.0,68.0,Papas Super Ricas Todo Rico,4100.0,BBQ,https://www.google.com/search?q=super+ricas+todo+rico&tbm=isch&ved=2ahUKEwj3pYLDmt3rAhWQ11kKHVsbCoAQ2-cCegQIABAA&oq=super+ricas+todo+rico&gs_lcp=CgNpbWcQA1CnM1jkPmCrQGgAcAB4AIABkAGIAbMJkgEDMC45mAEAoAEBqgELZ3dzLXdpei1pbWfAAQE&sclient=img&ei=k2JZX7eQBJCv5wLbtqiACA&bih=657&biw=1366&rlz=1C1AVNA_enCO565CO565#imgrc=j-TRGwMb3VqBvM&imgdii=SNs5ljMjr-DsjM
5,,Sabor,,,Bolsa x 150 gr,Pasabocas,ruddy,,,2.0,68.0,Papas Super Ricas Todo Rico,4100.0,Original,https://d50xhnwqnrbqk.cloudfront.net/images/products/large/superr.jpg
6,,Sabor,,,Bolsa x 320 gr,Pasabocas,ruddy,,,1.0,69.0,Papas Super Ricas Fritas,6700.0,Pollo,https://exitocol.vtexassets.com/arquivos/ids/1765513-800-auto?width=800&height=auto&aspect=true
7,,Sabor,,,Bolsa x 215 gr,Pasabocas,ruddy,,,1.0,70.0,Papas Super Ricas Fritas,4800.0,Natural,https://metrocolombiafood.vteximg.com.br/arquivos/ids/267938-1000-1000/7702152002255.jpg?v=637242039369600000
8,,Sabor,,,Bolsa x 205 gr ,Pasabocas,ruddy,,,2.0,70.0,Papas Super Ricas Fritas,4800.0,Pollo,https://images.rappi.com/products/620765-1559235068.png?d=500x500&e=webp
9,,Sabor,,,Bolsa x 105 gr,Pasabocas,ruddy,,,1.0,71.0,Papas Super Ricas Fritas,3200.0,Pollo,https://jumbocolombiafood.vteximg.com.br/arquivos/ids/3539109-1000-1000/7702152109831.jpg?v=637352028532230000
10,,Sabor,,,Bolsa x 115 gr,Pasabocas,ruddy,,,3.0,71.0,Papas Super Ricas Fritas,3200.0,Picante ,https://images.rappi.com/products/494072-1559235067.png?d=500x500&e=webp
11,,Sabor,,,Bolsa x 105 gr,Pasabocas,ruddy,,,4.0,71.0,Papas Super Ricas Fritas,3200.0,Natural,https://jumbocolombiafood.vteximg.com.br/arquivos/ids/3539108-1000-1000/7702152109824.jpg?v=637352028529600000
12,,Sabor,,,Bolsa x 115 gr,Pasabocas,ruddy,,,1.0,72.0,Papas Super Ricas Fritas Crocantes ,3500.0,Costillas Ahumadas,https://jumbocolombiafood.vteximg.com.br/arquivos/ids/3458994-750-750/7702152101231---PAPA-CROKANTE-COSTILLA-DE-CERDO-X-115GR.jpg?v=637039162324770000
13,,Sabor,,,Bolsa x 115 gr,Pasabocas,ruddy,,,2.0,72.0,Papas Super Ricas Fritas Crocantes ,3500.0,Natural,https://www.google.com/url?sa=i&url=https%3A%2F%2Fwww.tiendasjumbo.co%2Fpapas-fritas-crokante-natural-super-ricas-x-115g%2Fp&psig=AOvVaw2z0hGt74Mz0aQQwHMhG23A&ust=1599839613670000&source=images&cd=vfe&ved=0CAIQjRxqFwoTCKjK_pH53usCFQAAAAAdAAAAABAD
14,,Sabor,,,Bolsa x 135 gr,Pasabocas,ruddy,,,1.0,73.0,Papas Super Ricas Fritas Fosforitos ,3700.0,Natural,
15,,Sabor,,,Bolsa x 135 gr,Pasabocas,ruddy,,,1.0,74.0,Tajamiel Super Ricas,3600.0,Platano Maduro,https://exitocol.vtexassets.com/arquivos/ids/2081675-800-auto?width=800&height=auto&aspect=true
16,,Sabor,,,Bolsa x 135 gr,Pasabocas,ruddy,,,2.0,74.0,Tajaditas Super Ricas,3600.0,Platano verde,https://metrocolombiafood.vteximg.com.br/arquivos/ids/267944-1000-1000/7702152107967.jpg?v=637242039399900000
17,,Sabor,,,Bolsa x 400 gr,Pasabocas,ruddy,,,1.0,75.0,Papas Margarita De Todito ,7700.0,Natural,https://jumbocolombiafood.vteximg.com.br/arquivos/ids/3484364-1000-1000/7702189030443.jpg?v=637175561746170000
