ID_PRODUCTO,ID,Nombre,Descripcion,Etiquetas,Precio,Cantidad,Cantidad,% Impuesto,Atributos,Sabor,URL FOTO,Foto 1,Foto 2,Foto 3
1,1,Leche Entera Alpina,Bolsa x 1.100 ml,Leches ,3100,1,,0,,,https://www.eurosupermercados.com/eurosupermercado2020//contenidos/images/ecommerce_productos/7702001041404.jpg,,,
2,1,Leche Alpina Deslactosada ,Bolsa x 1.100 ml,Leches ,3400,1,,0,,,https://cdn.derematazo.com/wp-content/uploads/2019/08/Leche-Alpina-Deslactosada-Bolsa-x-1100ml-23445.jpg,,,
3,1,Leche Alpina Semi-Descremada  ,Bolsa x 1.100 ml,Leches ,3500,1,,0,,,https://www.eurosupermercados.com/eurosupermercado2020//contenidos/images/ecommerce_productos/7702001050130.jpg,,,
4,1,Leche Alpina Deslactosada-Descremada ,Bolsa x 1.100 ml,Leches ,3500,1,,0,,,https://jumbocolombiafood.vteximg.com.br/arquivos/ids/3496784-1000-1000/7702001053841.jpg?v=637230819660630000,,,
5,1,Leche Alpina Descremada  ,Bolsa x 1.100 ml,Leches ,3500,1,,0,,,https://supertiendascomunal.com/5457-large_default/leche-descremada-alpina-11-lt.jpg,,,
6,1,Leche Alpina Entera  ,Paca x 6 und,Leches ,16200,1,,0,,,https://metrocolombiafood.vteximg.com.br/arquivos/ids/266047-750-750/7702001041411.jpg?v=637230837843670000,,,
7,1,Leche Alpina Deslactosada  ,Paca x 6 und,Leches ,17700,1,,0,,,https://exitocol.vtexassets.com/arquivos/ids/1782790/Leche-Deslactosada-Sixpack-En-Bolsa-X-11-Litros-Cu-576258_a.png?v=637236951475730000,,,
8,1,Leche Alpina Semi-Descremada ,Paca x 6 und,Leches ,21000,1,,0,,,https://jumbocolombiafood.vteximg.com.br/arquivos/ids/3496788-750-750/7702001050208.jpg?v=637230819678000000,,,
9,1,Leche Alpina Deslactosada-Descremada ,Paca x 6 und,Leches ,21000,1,,0,,,https://mercaldas.vteximg.com.br/arquivos/ids/183332-1300-1300/LECHE-ALPINA-6UN-1100-DESLACDESCREM-BS.jpg?v=636996793400800000,,,
10,1,Leche Alpina Descremada ,Paca x 6 und,Leches ,21000,1,,0,,,https://jumbocolombiafood.vteximg.com.br/arquivos/ids/3496787-750-750/7702001050352.jpg?v=637230819672530000,,,
11,1,Leche Colanta Entera,Bolsa x 1.100 ml,Leches ,3000,1,,0,,,,,,
12,1,Leche Colanta Deslactosada,Bolsa x 1.100 ml,Leches ,3100,1,,0,,,,,,
13,1,Leche Colanta Entera,Paca x 6 und,Leches ,17800,1,,0,,,,,,
14,1,Leche Colanta Deslactosada,Paca x 6 und,Leches ,18800,1,,0,,,,,,
15,1,Leche Alqueria Entera,Bolsa x 1.100 ml,Leches ,3100,1,,0,,,,,,
16,1,Leche Alqueria Deslactosada,Bolsa x 1.100 ml,Leches ,3400,1,,0,,,,,,
17,1,Leche Alqueria Descremada Deslactosada,Bolsa x 1.100 ml,Leches ,3400,1,,0,,,,,,
18,1,Leche Alqueria Entera,Paca x 6 und,Leches ,18500,1,,0,,,,,,
19,1,Leche Alqueria Deslactosada,Paca x 6 und,Leches ,19900,1,,0,,,,,,
20,1,Leche Alqueria Descremada Deslactosada,Paca x 6 und,Leches ,0,1,,0,,,,,,
21,1,Leche Algarra Entera,Bolsa x 1.100 ml,Leches ,2600,1,,0,,,,,,
22,1,Leche Algarra Deslactosada,Bolsa x 1.100 ml,Leches ,2700,1,,0,,,,,,
23,1,Leche Algarra Entera,Paca x 6 und,Leches ,15500,1,,0,,,,,,
24,1,Leche Algarra Deslactosada,Paca x 6 und,Leches ,16500,1,,0,,,,,,
25,1,Leche Alpin Chocolate ,Paca x 6 und,Leches ,8900,1,,0,,,,,,
26,1,Leche Alpin Fresa,Paca x 6 und,Leches ,8900,1,,0,,,,,,
27,1,Leche Alpin Chocolate ,Bolsa x 800 ml,Leches ,5300,1,,0,,,,,,
28,1,Bebida Jappi Almendra Natural ,Caja x 900 ml,Leches ,9300,1,,0,,,,,,
29,1,Bebida Jappi Almendra Vainilla ,Caja x 900 ml,Leches ,9300,1,,0,,,,,,
30,1,Bebida Jappi Coco Natural ,Caja x 900 ml,Leches ,9300,1,,0,,,,,,
31,1,Leche Proleche Entera,Bolsa x 200 gr,Leches en Polvo,4900,1,,0,,,,,,
32,1,Leche Proleche Entera,Bolsa x 380 gr,Leches en Polvo,7800,1,,0,,,,,,
33,1,Leche Proleche Entera,Bolsa x 900 gr,Leches en Polvo,20300,1,,0,,,,,,
34,1,Leche Proleche Deslactosada,Bolsa x 380 gr,Leches en Polvo,9300,1,,0,,,,,,
35,1,Leche Proleche Descremada,Bolsa x 380 gr,Leches en Polvo,9400,1,,0,,,,,,
